Objects
100
,,Global Angle Headset:Headset,,,,,,Global Angle UWB_anchor:UWB_anchor,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,3.075359,1.542924,-1.529860,1295.119873,1367.229492,1921.738037,0.259842,3.101457,-0.347258,1276.051270,2224.665771,1309.490112
2,0,3.075093,1.543168,-1.529870,1295.137207,1367.206543,1921.756104,0.228818,3.105888,-0.340234,1276.288330,2224.670898,1309.462769
3,0,3.075485,1.543232,-1.529757,1295.070435,1367.166626,1921.709717,0.199238,3.107424,-0.330868,1276.389038,2224.583252,1309.403687
4,0,3.075432,1.543306,-1.529567,1295.030762,1367.168823,1921.707642,0.176438,3.111206,-0.326500,1276.540405,2224.644043,1309.317261
5,0,3.075773,1.543817,-1.529073,1294.994019,1367.151245,1921.656494,0.157606,3.113720,-0.322601,1276.654541,2224.650391,1309.324341
6,0,3.076028,1.543327,-1.529089,1294.904053,1367.103882,1921.649414,0.139891,3.116024,-0.316734,1276.758179,2224.581543,1309.317993
7,0,3.076135,1.542950,-1.529315,1294.823364,1367.111572,1921.658203,0.134349,3.116763,-0.315795,1276.811279,2224.621826,1309.295410
8,0,3.076396,1.543659,-1.528846,1294.762085,1367.064331,1921.614868,0.148090,3.115629,-0.318220,1276.747559,2224.583984,1309.295410
9,0,3.074698,1.542397,-1.529228,1294.763672,1367.083252,1921.736206,0.151883,3.114004,-0.321626,1276.697021,2224.676270,1309.287842
10,0,3.074329,1.542142,-1.529230,1294.713013,1367.078003,1921.813477,0.142548,3.110801,-0.319427,1276.630981,2224.609619,1309.195801
11,0,3.074753,1.542659,-1.528918,1294.616089,1367.000488,1921.721802,0.137145,3.115608,-0.316812,1276.762329,2224.632080,1309.282104
12,0,3.074920,1.542852,-1.528993,1294.521362,1366.988770,1921.661621,0.149475,3.114238,-0.321968,1276.718628,2224.677490,1309.281128
13,0,3.074731,1.542954,-1.528958,1294.462036,1366.948975,1921.668823,0.137690,3.118731,-0.315095,1276.849976,2224.579102,1309.354614
14,0,3.076910,1.544496,-1.528999,1294.300781,1366.826904,1921.449219,0.122824,3.120941,-0.311369,1276.949951,2224.529785,1309.338623
15,0,3.074085,1.543666,-1.529445,1294.371582,1366.866211,1921.627808,0.139539,3.116130,-0.318327,1276.788574,2224.626221,1309.263794
16,0,3.073942,1.543734,-1.529630,1294.301880,1366.874268,1921.615112,0.146272,3.115135,-0.317251,1276.733276,2224.578857,1309.284180
17,0,3.077744,1.546301,-1.529526,1294.022095,1366.714111,1921.221802,0.145862,3.115636,-0.316895,1276.730225,2224.600830,1309.302246
18,0,3.077831,1.546058,-1.529456,1293.890503,1366.655518,1921.238159,0.128272,3.117710,-0.311075,1276.816162,2224.515869,1309.310791
19,0,3.078088,1.546308,-1.529185,1293.724609,1366.591797,1921.205078,0.126690,3.115785,-0.311766,1276.763062,2224.526855,1309.302612
20,0,3.078080,1.546704,-1.528534,1293.544922,1366.605957,1921.217896,0.120932,3.117494,-0.308364,1276.821045,2224.502686,1309.308594
21,0,3.077705,1.546507,-1.528829,1293.419922,1366.616089,1921.215576,0.134080,3.116646,-0.312243,1276.792603,2224.496094,1309.270874
22,0,3.077664,1.546492,-1.528468,1293.240356,1366.624756,1921.227905,0.144427,3.115341,-0.317853,1276.729126,2224.637939,1309.284912
23,0,3.075871,1.545702,-1.527831,1293.106445,1366.681763,1921.391235,0.149122,3.112912,-0.321136,1276.663818,2224.661133,1309.250366
24,0,3.076055,1.544559,-1.527613,1292.852661,1366.656128,1921.478271,0.153459,3.113109,-0.320877,1276.647095,2224.617920,1309.288086
25,0,0.193510,-0.329943,-1.297107,1297.722778,1623.333252,1799.732056,0.145999,3.114939,-0.316657,1276.714478,2224.550293,1309.259399
26,0,0.195432,-0.331500,-1.296117,1297.585449,1623.415405,1799.852295,0.128163,3.115695,-0.310367,1276.736206,2224.495117,1309.295044
27,0,0.195687,-0.332946,-1.295225,1297.337646,1623.382812,1799.751587,0.142336,3.115810,-0.314157,1276.766113,2224.543457,1309.283936
28,0,0.195427,-0.333290,-1.295020,1297.134888,1623.341553,1799.683350,0.126916,3.117260,-0.309214,1276.795776,2224.512695,1309.313599
29,0,0.195432,-0.333491,-1.294655,1296.913574,1623.312012,1799.707642,0.111727,3.117605,-0.306889,1276.843262,2224.514893,1309.294067
30,0,0.195764,-0.333344,-1.294756,1296.730469,1623.269043,1799.736206,0.128756,3.116694,-0.310635,1276.787231,2224.489746,1309.278198
31,0,0.194741,-0.333498,-1.294669,1296.519287,1623.242920,1799.666992,0.136032,3.117502,-0.315938,1276.823853,2224.597900,1309.277832
32,0,0.195159,-0.333102,-1.294767,1296.314941,1623.261841,1799.713013,0.150805,3.116455,-0.320864,1276.755005,2224.657959,1309.288086
33,0,0.195351,-0.333056,-1.294943,1296.120972,1623.253906,1799.703125,0.153392,3.114726,-0.320492,1276.694458,2224.644775,1309.275146
34,0,0.195425,-0.332928,-1.295020,1295.911377,1623.219238,1799.729980,0.140178,3.115423,-0.314438,1276.730225,2224.541260,1309.295776
35,0,0.195859,-0.331668,-1.295734,1295.754639,1623.299683,1799.873535,0.144906,3.115314,-0.318475,1276.739502,2224.622803,1309.265503
36,0,0.195553,-0.332008,-1.295588,1295.521851,1623.288086,1799.790527,0.136961,3.116609,-0.313027,1276.757568,2224.526123,1309.337891
37,0,0.194992,-0.332381,-1.295402,1295.336060,1623.207031,1799.600708,0.147769,3.113759,-0.318113,1276.698853,2224.635254,1309.270630
38,0,0.194726,-0.332442,-1.295201,1295.066895,1623.190674,1799.530273,0.153699,3.115618,-0.320997,1276.740356,2224.664795,1309.286499
39,0,0.194565,-0.333248,-1.295180,1294.778564,1623.161987,1799.433960,0.137904,3.116700,-0.315239,1276.796509,2224.566162,1309.262451
40,0,0.191704,-0.333847,-1.293686,1294.282227,1622.749023,1799.056519,0.145482,3.115871,-0.321684,1276.786255,2224.673584,1309.276001
41,0,0.191543,-0.333840,-1.293529,1293.985840,1622.799316,1798.973999,0.142757,3.115156,-0.317024,1276.743774,2224.584961,1309.258057
42,0,0.193883,-0.330934,-1.295933,1293.980591,1623.368164,1799.514160,0.145832,3.114120,-0.318215,1276.730957,2224.644043,1309.272217
43,0,0.194843,-0.330939,-1.296208,1293.680542,1623.429321,1799.554565,0.137805,3.114060,-0.318536,1276.749878,2224.654785,1309.232666
44,0,0.194359,-0.332155,-1.294918,1293.298706,1623.327026,1799.338867,0.151596,3.115145,-0.322835,1276.745972,2224.668457,1309.320435
45,0,0.194512,-0.331007,-1.295681,1293.058105,1623.403931,1799.453613,0.152580,3.114977,-0.320578,1276.729004,2224.609375,1309.307617
46,0,0.195753,-0.332208,-1.294507,1292.642578,1623.387695,1799.336426,0.149531,3.114681,-0.321847,1276.736450,2224.689697,1309.266602
47,0,0.192626,-0.334072,-1.292197,1292.059448,1622.901123,1798.810913,0.149493,3.116177,-0.321149,1276.787842,2224.667969,1309.282471
48,0,0.192134,-0.333905,-1.291809,1291.703003,1622.908569,1798.793091,0.147078,3.115742,-0.319651,1276.760010,2224.644531,1309.290771
49,0,0.191955,-0.334127,-1.292549,1291.378662,1622.934082,1798.785645,0.140174,3.116635,-0.319124,1276.819946,2224.642578,1309.266357
50,0,0.193874,-0.336669,-1.287529,1290.878174,1623.244385,1798.947388,0.151074,3.114100,-0.323299,1276.744263,2224.700439,1309.302979
51,0,0.192180,-0.335010,-1.291346,1290.702759,1622.900879,1798.750000,0.151175,3.116568,-0.321339,1276.785767,2224.665283,1309.314697
52,0,0.192307,-0.335258,-1.291276,1290.300415,1622.871094,1798.643799,0.152057,3.115479,-0.318691,1276.744507,2224.574951,1309.289185
53,0,0.192971,-0.336594,-1.291063,1290.050659,1622.860352,1798.660156,0.139994,3.115775,-0.316743,1276.786865,2224.597900,1309.266602
54,0,0.194080,-0.336973,-1.288353,1289.467896,1623.313965,1798.807129,0.156667,3.114821,-0.320416,1276.716675,2224.579346,1309.315186
55,0,0.193852,-0.336982,-1.287290,1289.001099,1623.207153,1798.798706,0.143987,3.115901,-0.315972,1276.758911,2224.515625,1309.318604
56,0,0.194340,-0.334764,-1.290272,1288.707275,1623.215210,1798.860718,0.149826,3.116979,-0.321213,1276.811890,2224.667725,1309.298584
57,0,0.193411,-0.334806,-1.292977,1288.594360,1622.880615,1798.728882,0.129221,3.114719,-0.313909,1276.771240,2224.543213,1309.226685
58,0,0.194284,-0.335467,-1.291889,1288.180176,1622.954956,1798.792847,0.142556,3.116942,-0.319334,1276.822021,2224.647705,1309.271851
59,0,0.195000,-0.336104,-1.291828,1287.793335,1622.946411,1798.781738,0.141571,3.118839,-0.319175,1276.893555,2224.656494,1309.296509
