Objects
100
,,Global Angle Headset:Headset,,,,,,Global Angle UWB_anchor:UWB_anchor,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.469084,0.221873,1.899809,1254.658081,1318.905273,1794.746338,-0.032450,-0.014619,0.102081,1265.006348,2218.408936,1257.338867
2,0,0.468932,0.221783,1.899553,1254.629150,1318.846436,1794.718872,-0.028678,-0.013866,0.120788,1265.214233,2218.415283,1257.259644
3,0,0.468818,0.221766,1.899920,1254.655884,1318.792847,1794.714844,-0.023963,-0.012619,0.139028,1265.368164,2218.449707,1257.198975
4,0,0.466358,0.221511,1.900304,1254.789795,1318.626465,1794.654175,-0.018281,-0.010499,0.158540,1265.503052,2218.482910,1257.168945
5,0,0.466334,0.221439,1.900449,1254.773438,1318.622925,1794.648438,-0.012719,-0.007273,0.178726,1265.575195,2218.534180,1257.136841
6,0,0.466253,0.221515,1.900625,1254.776489,1318.552246,1794.646606,-0.011948,-0.006567,0.187143,1265.703491,2218.510498,1257.099121
7,0,0.466531,0.221377,1.900755,1254.760620,1318.524414,1794.649780,-0.012341,-0.004862,0.186075,1265.662842,2218.533447,1257.150757
8,0,0.466431,0.221280,1.901063,1254.767334,1318.514404,1794.655884,-0.012181,-0.005001,0.190977,1265.723145,2218.516602,1257.145508
9,0,0.468944,0.221585,1.900118,1254.573486,1318.619873,1794.732056,-0.012516,-0.006543,0.186516,1265.721802,2218.552246,1257.146118
10,0,0.466432,0.221207,1.900911,1254.788330,1318.470947,1794.647705,-0.010577,-0.006543,0.187994,1265.717529,2218.605957,1257.128174
11,0,0.466421,0.221351,1.901114,1254.791870,1318.395020,1794.641968,-0.010137,-0.006324,0.188028,1265.722656,2218.572266,1257.112305
12,0,0.466631,0.220805,1.901060,1254.783936,1318.369141,1794.611084,-0.011519,-0.006494,0.191850,1265.769287,2218.510986,1257.117065
13,0,0.466498,0.221119,1.901064,1254.782837,1318.311035,1794.630859,-0.012006,-0.004870,0.190236,1265.699585,2218.502930,1257.116211
14,0,0.466645,0.220839,1.900955,1254.788696,1318.292358,1794.611450,-0.010504,-0.005437,0.192048,1265.738892,2218.526123,1257.094971
15,0,0.466724,0.220949,1.900910,1254.803345,1318.292603,1794.620972,-0.010923,-0.007834,0.193126,1265.812256,2218.503906,1257.032104
16,0,0.469018,0.221621,1.900140,1254.648193,1318.373047,1794.707397,-0.011790,-0.005889,0.186125,1265.707153,2218.555664,1257.108398
17,0,0.469008,0.221589,1.900293,1254.666626,1318.388794,1794.696167,-0.012937,-0.004953,0.181005,1265.631226,2218.550293,1257.142822
18,0,0.466697,0.221382,1.900872,1254.855103,1318.209961,1794.637695,-0.013345,-0.006692,0.181380,1265.662964,2218.536377,1257.133301
19,0,0.468935,0.221962,1.900130,1254.687622,1318.344238,1794.763062,-0.010851,-0.006054,0.190321,1265.735107,2218.530518,1257.117188
20,0,0.466546,0.221295,1.900699,1254.892212,1318.207642,1794.662354,-0.012573,-0.004997,0.180070,1265.616943,2218.562012,1257.179443
21,0,0.466735,0.221450,1.900452,1254.890381,1318.177368,1794.648926,-0.013467,-0.007137,0.182153,1265.703491,2218.539307,1257.152100
22,0,0.469089,0.221812,1.899678,1254.765259,1318.294922,1794.703491,-0.011445,-0.006062,0.187037,1265.739502,2218.534180,1257.089844
23,0,0.469355,0.222007,1.899624,1254.794312,1318.224731,1794.666748,-0.012804,-0.006428,0.186730,1265.743164,2218.480713,1257.069092
24,0,0.466924,0.221592,1.900295,1255.026489,1318.092651,1794.566772,-0.013319,-0.004531,0.186374,1265.676147,2218.484619,1257.079712
25,0,0.468940,0.222060,1.899814,1254.925659,1318.203003,1794.663696,-0.012323,-0.006911,0.183944,1265.716431,2218.515625,1257.048584
26,0,0.467639,0.225697,1.897372,1254.675415,1317.700806,1794.959106,-0.010771,-0.006286,0.185499,1265.708252,2218.553223,1257.056152
27,0,0.465712,0.224912,1.897554,1254.868408,1317.602539,1794.878662,-0.011911,-0.006281,0.185746,1265.727173,2218.560547,1257.138550
28,0,0.468074,0.225236,1.896977,1254.760498,1317.687744,1794.968750,-0.012467,-0.005071,0.180397,1265.631348,2218.561279,1257.166748
29,0,0.468122,0.225293,1.896737,1254.783936,1317.677979,1794.960693,-0.012743,-0.005349,0.182206,1265.664673,2218.547607,1257.153931
30,0,0.465835,0.225092,1.897613,1254.951904,1317.579712,1794.874390,-0.011983,-0.004009,0.183436,1265.647705,2218.558594,1257.157959
31,0,0.465790,0.225116,1.897562,1255.053833,1317.505127,1794.861694,-0.012183,-0.005105,0.188138,1265.734619,2218.520264,1257.120972
32,0,0.465821,0.225512,1.897776,1255.132935,1317.445557,1794.837036,-0.012231,-0.005509,0.192182,1265.791260,2218.478027,1257.057861
33,0,0.466746,0.221817,1.900186,1255.537476,1317.909668,1794.508179,-0.010353,-0.004993,0.189200,1265.740601,2218.534424,1257.033813
34,0,0.466549,0.222925,1.899142,1255.519165,1317.795288,1794.556763,-0.011920,-0.005332,0.184401,1265.714111,2218.515137,1257.051880
35,0,0.466797,0.221839,1.899788,1255.673340,1317.869141,1794.514404,-0.010404,-0.006221,0.190068,1265.785645,2218.511719,1257.041870
36,0,0.466661,0.222688,1.899351,1255.691284,1317.799316,1794.584473,-0.012071,-0.005055,0.182452,1265.691772,2218.541260,1257.129150
37,0,0.466943,0.221589,1.899834,1255.838135,1317.859253,1794.507568,-0.011080,-0.005432,0.186475,1265.741577,2218.551758,1257.116455
38,0,0.467280,0.221488,1.899997,1255.943726,1317.836304,1794.461060,-0.011997,-0.003489,0.188066,1265.714722,2218.524902,1257.118164
39,0,0.467173,0.221590,1.899962,1256.072876,1317.797607,1794.475708,-0.011856,-0.001784,0.184023,1265.655884,2218.554199,1257.134155
40,0,0.467527,0.221800,1.900018,1256.136841,1317.797852,1794.473145,-0.012051,-0.000837,0.184590,1265.659912,2218.552734,1257.137451
41,0,0.467626,0.221906,1.899860,1256.267578,1317.797485,1794.491699,-0.013010,-0.002899,0.182217,1265.680420,2218.548096,1257.105225
42,0,0.468566,0.222101,1.899454,1256.235352,1317.848389,1794.518677,-0.011123,-0.002687,0.186262,1265.704468,2218.533203,1257.107544
43,0,0.468414,0.221772,1.899779,1256.424927,1317.712158,1794.388184,-0.012276,-0.003571,0.184517,1265.723999,2218.527100,1257.117676
44,0,0.467849,0.222129,1.900180,1256.643311,1317.702393,1794.480469,-0.013779,-0.002427,0.178928,1265.638794,2218.496582,1257.140869
45,0,0.467838,0.222043,1.900410,1256.780762,1317.672974,1794.443237,-0.012634,-0.004520,0.183244,1265.752441,2218.487061,1257.065186
46,0,0.467886,0.222342,1.900365,1256.892700,1317.676147,1794.453125,-0.012544,-0.003593,0.184126,1265.746216,2218.500000,1257.054321
47,0,0.468075,0.222241,1.900539,1257.020142,1317.686401,1794.451660,-0.013428,-0.003737,0.178706,1265.706909,2218.530518,1257.086182
48,0,0.468973,0.221007,1.900296,1257.101929,1317.777222,1794.358765,-0.011473,-0.001189,0.185302,1265.738403,2218.558594,1257.154663
49,0,0.468600,0.222494,1.900575,1257.226685,1317.691650,1794.529053,-0.013053,-0.000993,0.178187,1265.654785,2218.552490,1257.206543
50,0,0.469727,0.222059,1.899893,1257.082642,1317.831055,1794.439819,-0.012482,-0.001213,0.181454,1265.690063,2218.541992,1257.181519
51,0,0.468812,0.221425,1.900537,1257.459351,1317.812500,1794.437744,-0.013901,-0.000848,0.175320,1265.625610,2218.548828,1257.203735
52,0,0.469459,0.222433,1.900137,1257.342163,1317.852173,1794.491333,-0.013103,-0.002028,0.179190,1265.689087,2218.507812,1257.108643
53,0,0.468461,0.222745,1.900516,1257.589111,1317.721802,1794.470581,-0.015488,-0.002685,0.170970,1265.639282,2218.475830,1257.099365
54,0,0.469058,0.222695,1.900145,1257.605347,1317.733398,1794.418213,-0.015113,-0.002610,0.173719,1265.671265,2218.459229,1257.078247
55,0,0.469155,0.222688,1.900220,1257.701782,1317.779541,1794.423950,-0.014423,-0.001335,0.178131,1265.680298,2218.455566,1257.095581
56,0,0.470430,0.221638,1.899715,1257.676270,1318.008789,1794.436279,-0.014807,-0.002441,0.177444,1265.730103,2218.485352,1257.118286
57,0,0.469747,0.222043,1.899830,1257.864258,1317.944214,1794.465820,-0.016730,-0.002312,0.168051,1265.630371,2218.501221,1257.181030
58,0,0.469837,0.222154,1.899961,1257.968750,1317.984131,1794.461060,-0.016572,-0.002844,0.166856,1265.632568,2218.511230,1257.184326
59,0,0.471697,0.223718,1.899399,1257.836060,1318.065552,1794.601929,-0.019733,-0.002635,0.158474,1265.578369,2218.477783,1257.219482
60,0,0.470771,0.223699,1.899728,1258.004639,1318.091553,1794.666138,-0.020355,-0.002138,0.155124,1265.562378,2218.473877,1257.224243
61,0,0.470896,0.223917,1.899634,1258.061401,1318.091553,1794.667114,-0.024125,-0.001676,0.143874,1265.449341,2218.422119,1257.269897
62,0,0.470678,0.223894,1.899837,1258.165161,1318.100830,1794.599487,-0.025345,0.004439,0.137736,1265.383789,2218.617676,1257.732666
63,0,0.470805,0.224289,1.899839,1258.200806,1318.139648,1794.633423,-0.026911,0.004207,0.127201,1265.287964,2218.627686,1257.751587
64,0,0.470972,0.224662,1.899584,1258.207275,1318.235840,1794.722900,-0.030125,0.001962,0.117969,1265.226562,2218.631592,1257.809937
65,0,0.470988,0.224839,1.899462,1258.254883,1318.302734,1794.774902,-0.030752,0.000636,0.114197,1265.219116,2218.646729,1257.842529
66,0,0.470666,0.224890,1.899634,1258.344482,1318.387573,1794.822754,-0.028616,0.002234,0.117361,1265.226196,2218.680908,1257.867310
67,0,0.468611,0.224869,1.900034,1258.550293,1318.362183,1794.804810,-0.029321,0.002509,0.118340,1265.274292,2218.683838,1257.898193
68,0,0.468823,0.224596,1.899820,1258.583618,1318.436035,1794.774048,-0.028169,0.001138,0.124255,1265.359009,2218.650146,1257.829346
69,0,0.467575,0.225165,1.901336,1258.872070,1318.220093,1794.696777,-0.028617,0.001898,0.124116,1265.338135,2218.637207,1257.802612
70,0,0.468355,0.224770,1.899114,1258.648804,1318.508789,1794.739990,-0.028055,0.001670,0.128943,1265.362915,2218.632568,1257.760010
71,0,0.468156,0.224653,1.898929,1258.667114,1318.605713,1794.758179,-0.029693,0.002437,0.121544,1265.249878,2218.615234,1257.787720
72,0,0.468336,0.224748,1.898594,1258.685669,1318.671021,1794.809814,-0.027676,0.000636,0.130494,1265.403320,2218.592285,1257.733276
73,0,0.467506,0.224902,1.899764,1258.895752,1318.570435,1794.769775,-0.028109,0.001875,0.124586,1265.331177,2218.666992,1257.829834
74,0,0.467534,0.225169,1.899420,1258.912964,1318.673584,1794.841431,-0.029055,0.002392,0.119454,1265.244263,2218.677490,1257.871216
75,0,0.467413,0.224881,1.899213,1258.960815,1318.777344,1794.840088,-0.029387,0.000937,0.118900,1265.276855,2218.654541,1257.859253
76,0,0.468320,0.224572,1.897965,1258.860474,1319.022217,1794.861450,-0.030541,0.002243,0.114452,1265.214844,2218.661621,1257.865234
77,0,0.468594,0.223366,1.897976,1258.996704,1319.136353,1794.791382,-0.029968,0.001556,0.124007,1265.308838,2218.568848,1257.791992
78,0,0.468534,0.224214,1.897426,1259.044312,1319.135742,1794.799561,-0.028454,0.000953,0.133286,1265.428345,2218.548828,1257.716553
79,0,0.468559,0.224234,1.897483,1259.138672,1319.235718,1794.763916,-0.026367,0.001674,0.133350,1265.419922,2218.618896,1257.701294
80,0,0.468819,0.224730,1.897268,1259.198120,1319.306763,1794.821289,-0.026269,0.000213,0.134226,1265.447266,2218.630859,1257.686157
81,0,0.468556,0.226177,1.896921,1259.195435,1319.294189,1794.908325,-0.031504,-0.026087,0.123947,1265.461426,2218.506104,1257.437988
82,0,0.469068,0.225414,1.896827,1259.295898,1319.434814,1794.894043,-0.033856,-0.033970,0.104688,1265.413452,2218.497314,1257.495972
83,0,0.468587,0.226806,1.896733,1259.316650,1319.401245,1795.010132,-0.037850,-0.035715,0.088673,1265.291626,2218.493408,1257.552002
84,0,0.468974,0.226693,1.896587,1259.342041,1319.506958,1794.985596,-0.040330,-0.036651,0.079083,1265.213867,2218.483643,1257.525024
85,0,0.469058,0.226581,1.896487,1259.388794,1319.558350,1794.969971,-0.040880,-0.038040,0.080138,1265.299927,2218.436768,1257.454956
86,0,0.469363,0.226181,1.896270,1259.379272,1319.645142,1794.934692,-0.042459,-0.039375,0.075853,1265.267700,2218.426025,1257.422607
87,0,0.469563,0.225614,1.896120,1259.354370,1319.703979,1794.872070,-0.042535,-0.038075,0.074463,1265.200317,2218.442871,1257.449463
