#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1403715273265178112,0.874368,2.18275,0.951895,0.0683884,-0.822976,-0.108188,-0.55347,0.00295546,-5.91787e-05,-0.00323447,-0.00236642,0.0216525,0.076754,-0.0216337,0.0549316,0.033344
1403715273275178240,0.874398,2.18275,0.951864,0.068388,-0.822985,-0.108192,-0.553456,0.00292213,-0.000158622,-0.00321215,-0.00236642,0.0216525,0.076754,-0.0216337,0.0549316,0.033344
1403715273285178112,0.874427,2.18275,0.951832,0.0683931,-0.822988,-0.108186,-0.553452,0.00282643,-0.000156345,-0.0030444,-0.00236642,0.0216525,0.076754,-0.0216337,0.0549316,0.033344
1403715273295178240,0.874455,2.18275,0.951802,0.0683996,-0.822985,-0.108188,-0.553454,0.00281959,4.04752e-05,-0.0028978,-0.00236642,0.0216525,0.076754,-0.0216336,0.0549317,0.0333441
1403715273305178112,0.874483,2.18275,0.951775,0.0683972,-0.822992,-0.10818,-0.553447,0.00286488,0.000216211,-0.00253035,-0.00236642,0.0216525,0.076754,-0.0216336,0.0549318,0.0333441
1403715273315178240,0.874512,2.18275,0.95175,0.0683977,-0.822998,-0.108181,-0.553438,0.00302448,0.000441246,-0.00248324,-0.00236642,0.0216525,0.076754,-0.0216335,0.0549321,0.0333443
1403715273325178112,0.874541,2.18276,0.951725,0.0684019,-0.823,-0.108169,-0.553436,0.00274951,0.000191603,-0.00230106,-0.00236642,0.0216525,0.076754,-0.0216334,0.0549324,0.0333445
1403715273335178240,0.874567,2.18276,0.951703,0.0684009,-0.823003,-0.108163,-0.553433,0.00249217,0.000383094,-0.00214199,-0.00236642,0.0216525,0.076754,-0.0216332,0.0549329,0.033345
1403715273345178112,0.874592,2.18276,0.951682,0.0683971,-0.823004,-0.10815,-0.553435,0.00236416,0.000414168,-0.00196753,-0.00236642,0.0216525,0.076754,-0.0216329,0.0549335,0.0333456
1403715273355178240,0.874614,2.18277,0.951663,0.0683936,-0.823012,-0.10815,-0.553423,0.00201174,0.000392766,-0.00190497,-0.00236642,0.0216525,0.076754,-0.0216327,0.0549344,0.0333466
1403715273365178112,0.874631,2.18277,0.951645,0.0683915,-0.82302,-0.108146,-0.553413,0.00146027,0.00038478,-0.00176144,-0.00236642,0.0216525,0.076754,-0.0216324,0.0549353,0.0333479
1403715273375177984,0.874646,2.18277,0.951627,0.0683899,-0.823028,-0.108146,-0.553401,0.00144909,0.000358089,-0.00176953,-0.00236642,0.0216525,0.076754,-0.0216322,0.0549364,0.0333497
1403715273385178112,0.87466,2.18278,0.95161,0.068385,-0.823035,-0.108157,-0.553389,0.00140926,0.000214276,-0.00173572,-0.00236642,0.0216525,0.076754,-0.021632,0.0549377,0.033352
1403715273395177984,0.874674,2.18278,0.951594,0.0683967,-0.823036,-0.108154,-0.553386,0.0013152,0.000128532,-0.00144863,-0.00236642,0.0216525,0.076754,-0.0216319,0.054939,0.0333551
1403715273405178112,0.874685,2.18278,0.951581,0.0684,-0.823039,-0.108141,-0.553385,0.00107529,0.000182356,-0.00131787,-0.00236642,0.0216525,0.076754,-0.0216318,0.0549405,0.0333588
1403715273415177984,0.874696,2.18278,0.951569,0.0683956,-0.823038,-0.10814,-0.553386,0.000926333,0.000494012,-0.00106856,-0.00236643,0.0216525,0.076754,-0.0216319,0.0549421,0.0333634
1403715273425178112,0.874702,2.18279,0.95156,0.0683886,-0.823039,-0.108142,-0.553385,0.000420681,0.00086022,-0.000888103,-0.00236643,0.0216525,0.076754,-0.021632,0.0549437,0.0333689
1403715273435177984,0.874705,2.1828,0.951552,0.0683965,-0.823041,-0.108144,-0.55338,0.000274878,0.00100418,-0.000721037,-0.00236643,0.0216525,0.076754,-0.0216322,0.0549454,0.0333753
1403715273445178112,0.874708,2.18281,0.951546,0.0683922,-0.823047,-0.108139,-0.553373,0.000303469,0.000955048,-0.000558955,-0.00236643,0.0216525,0.076754,-0.0216326,0.0549472,0.0333827
1403715273455177984,0.874709,2.18282,0.951541,0.0684004,-0.823051,-0.10813,-0.553368,8.84119e-05,0.000842123,-0.000417575,-0.00236643,0.0216525,0.076754,-0.021633,0.0549489,0.0333912
1403715273465178112,0.874708,2.18283,0.951536,0.0684022,-0.823056,-0.108132,-0.553361,-0.000334993,0.00101447,-0.000418331,-0.00236643,0.0216525,0.076754,-0.0216336,0.0549506,0.0334007
1403715273475177984,0.874704,2.18284,0.951532,0.0684011,-0.823062,-0.108126,-0.553353,-0.000243922,0.00105334,-0.000387005,-0.00236643,0.0216525,0.076754,-0.0216343,0.0549522,0.0334112
1403715273485178112,0.8747,2.18285,0.951527,0.0684111,-0.823067,-0.108109,-0.553347,-0.000576953,0.000850324,-0.000583593,-0.00236644,0.0216525,0.076754,-0.0216351,0.0549536,0.0334229
1403715273495177984,0.874693,2.18285,0.951521,0.0684182,-0.823068,-0.108103,-0.553347,-0.000763643,0.000788124,-0.000544857,-0.00236644,0.0216525,0.076754,-0.021636,0.0549549,0.0334356
1403715273505177856,0.874685,2.18286,0.951518,0.0684242,-0.823072,-0.108096,-0.553341,-0.000759849,0.000589058,-0.00025025,-0.00236644,0.0216525,0.076754,-0.021637,0.054956,0.0334495
1403715273515177984,0.874677,2.18287,0.951516,0.0684301,-0.823076,-0.108083,-0.553336,-0.000824097,0.000751775,-0.000169946,-0.00236644,0.0216525,0.076754,-0.0216381,0.0549568,0.0334644
1403715273525177856,0.874669,2.18288,0.951515,0.0684271,-0.82308,-0.108073,-0.553333,-0.000833312,0.000942805,2.54529e-05,-0.00236644,0.0216525,0.0767539,-0.0216392,0.0549573,0.0334805
1403715273535177984,0.874658,2.18289,0.951517,0.0684319,-0.823083,-0.108068,-0.553328,-0.00129116,0.000910678,0.000289128,-0.00236645,0.0216525,0.0767539,-0.0216404,0.0549574,0.0334977
1403715273545177856,0.874641,2.18289,0.951521,0.0684235,-0.82308,-0.108065,-0.553335,-0.0020055,0.000996137,0.000437852,-0.00236645,0.0216525,0.0767539,-0.0216415,0.0549569,0.0335161
1403715273555177984,0.874623,2.18289,0.951527,0.068392,-0.8231,-0.108003,-0.553322,-0.00164361,-0.000999329,0.00103826,-0.00236645,0.0216525,0.0767539,-0.0216426,0.054956,0.0335356
1403715273565177856,0.874605,2.1829,0.951534,0.0683809,-0.823108,-0.10795,-0.553321,-0.00184988,0.00325361,0.000579175,-0.00236646,0.0216525,0.0767539,-0.0216436,0.0549544,0.0335562
1403715273575177984,0.874581,2.18297,0.951539,0.0685335,-0.82308,-0.108134,-0.553307,-0.00251172,0.00874358,0.000201133,-0.00236646,0.0216525,0.0767539,-0.0216446,0.0549521,0.033578
1403715273585177856,0.874564,2.18302,0.951544,0.0686404,-0.823064,-0.108294,-0.553287,-0.000641393,-0.000233391,0.000294554,-0.00236646,0.0216525,0.0767539,-0.0216454,0.054949,0.033601
1403715273595177984,0.874566,2.18296,0.951552,0.0683649,-0.82311,-0.108027,-0.553306,0.000763779,-0.00950981,0.00108773,-0.00236647,0.0216525,0.0767539,-0.021646,0.0549452,0.0336251
1403715273605177856,0.874567,2.1829,0.951555,0.0681492,-0.82315,-0.107726,-0.553331,-0.000385048,0.000182678,-0.000202922,-0.00236647,0.0216525,0.0767539,-0.0216464,0.0549405,0.0336505
1403715273615177984,0.874554,2.18297,0.951569,0.0683693,-0.823114,-0.107891,-0.553325,-0.00220772,0.0126808,0.00187699,-0.00236647,0.0216525,0.0767539,-0.0216466,0.0549349,0.0336771
