#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1759345551048184576,-972.301,-975.23,-698.373,0.453445,0.824576,0.136851,-0.309409,53.5426,-92.1088,-211.716,-0.0139026,0.0257385,0.0360248,30.7725,20.618,49.9355
1759345551058184704,-971.766,-976.148,-700.49,0.453259,0.824385,0.136891,-0.310171,53.3235,-91.3945,-211.672,-0.0139026,0.0257385,0.0360248,30.7725,20.618,49.9355
1759345551068184576,-971.234,-977.059,-702.606,0.453079,0.824157,0.136972,-0.311002,53.1023,-90.6761,-211.63,-0.0139026,0.0257385,0.0360248,30.7725,20.618,49.9355
1759345551078184704,-970.704,-977.962,-704.722,0.452834,0.823903,0.137044,-0.311999,52.8793,-89.9593,-211.589,-0.0139026,0.0257385,0.0360248,30.7725,20.618,49.9355
1759345551088184576,-970.176,-978.858,-706.838,0.452659,0.823662,0.137101,-0.312866,52.6548,-89.2446,-211.549,-0.0139026,0.0257385,0.0360248,30.7725,20.618,49.9354
1759345551098184704,-969.651,-979.747,-708.953,0.452483,0.82343,0.137181,-0.313694,52.429,-88.5322,-211.511,-0.0139026,0.0257385,0.0360248,30.7725,20.618,49.9354
1759345551108184576,-969.128,-980.629,-711.068,0.452296,0.823208,0.137258,-0.31451,52.2019,-87.8216,-211.475,-0.0139026,0.0257385,0.0360248,30.7725,20.618,49.9354
1759345551118184448,-968.607,-981.504,-713.182,0.452177,0.823008,0.137319,-0.315178,51.9737,-87.1122,-211.439,-0.0139026,0.0257385,0.0360248,30.7725,20.618,49.9354
1759345551128184576,-968.088,-982.372,-715.297,0.452011,0.822768,0.137398,-0.316006,51.7447,-86.4039,-211.404,-0.0139026,0.0257384,0.0360248,30.7725,20.618,49.9354
1759345551138184448,-967.572,-983.232,-717.41,0.45187,0.822519,0.137484,-0.316818,51.5151,-85.6963,-211.37,-0.0139026,0.0257384,0.0360248,30.7725,20.618,49.9354
1759345551148184576,-967.058,-984.086,-719.524,0.451716,0.822271,0.137588,-0.317636,51.2847,-84.989,-211.335,-0.0139026,0.0257384,0.0360248,30.7725,20.6181,49.9354
1759345551158184448,-966.546,-984.932,-721.637,0.45155,0.822022,0.137665,-0.318482,51.0538,-84.2823,-211.301,-0.0139026,0.0257384,0.0360248,30.7725,20.6181,49.9353
1759345551168184576,-966.036,-985.772,-723.75,0.451302,0.821742,0.13774,-0.31952,50.8226,-83.576,-211.268,-0.0139026,0.0257384,0.0360248,30.7725,20.6181,49.9353
1759345551178184448,-965.529,-986.604,-725.862,0.451148,0.82147,0.137871,-0.320381,50.5915,-82.8697,-211.234,-0.0139026,0.0257384,0.0360247,30.7725,20.6181,49.9353
1759345551188184576,-965.024,-987.429,-727.974,0.45099,0.821226,0.137941,-0.321199,50.3604,-82.1634,-211.2,-0.0139026,0.0257383,0.0360247,30.7725,20.6181,49.9353
1759345551198184448,-964.522,-988.248,-730.086,0.450892,0.820937,0.138074,-0.322017,50.1291,-81.457,-211.167,-0.0139026,0.0257383,0.0360247,30.7726,20.6181,49.9353
1759345551208184576,-964.021,-989.059,-732.197,0.450734,0.820683,0.138145,-0.322855,49.8979,-80.7506,-211.134,-0.0139026,0.0257383,0.0360247,30.7726,20.6181,49.9352
1759345551218184448,-963.523,-989.863,-734.309,0.450665,0.820384,0.138317,-0.323635,49.6669,-80.044,-211.101,-0.0139026,0.0257383,0.0360247,30.7726,20.6181,49.9352
1759345551228184576,-963.028,-990.66,-736.419,0.450521,0.820117,0.138455,-0.324451,49.436,-79.3375,-211.068,-0.0139026,0.0257382,0.0360247,30.7726,20.6182,49.9352
1759345551238184448,-962.534,-991.45,-738.53,0.450371,0.819851,0.138546,-0.325291,49.2052,-78.6309,-211.034,-0.0139026,0.0257382,0.0360246,30.7726,20.6182,49.9352
1759345551248184320,-962.043,-992.233,-740.64,0.450172,0.819593,0.13859,-0.326199,48.9748,-77.924,-211.001,-0.0139026,0.0257382,0.0360246,30.7726,20.6182,49.9351
1759345551258184448,-961.555,-993.009,-742.75,0.450024,0.819316,0.138702,-0.327049,48.7451,-77.2165,-210.967,-0.0139026,0.0257382,0.0360246,30.7726,20.6182,49.9351
1759345551268184320,-961.068,-993.777,-744.859,0.449864,0.819028,0.138853,-0.327927,48.5159,-76.5086,-210.932,-0.0139026,0.0257381,0.0360246,30.7727,20.6182,49.9351
1759345551278184448,-960.584,-994.539,-746.968,0.449707,0.818784,0.138937,-0.328714,48.2873,-75.8001,-210.898,-0.0139026,0.0257381,0.0360246,30.7727,20.6182,49.9351
1759345551288184320,-960.102,-995.294,-749.077,0.449552,0.818524,0.139067,-0.329518,48.0592,-75.0913,-210.863,-0.0139026,0.025738,0.0360245,30.7727,20.6182,49.935
1759345551298184448,-959.623,-996.041,-751.185,0.449391,0.818256,0.139192,-0.330349,47.8317,-74.3822,-210.827,-0.0139026,0.025738,0.0360245,30.7727,20.6183,49.935
1759345551308184320,-959.145,-996.781,-753.293,0.449222,0.817933,0.139411,-0.331285,47.6045,-73.6731,-210.792,-0.0139026,0.025738,0.0360245,30.7727,20.6183,49.935
1759345551318184448,-958.67,-997.515,-755.401,0.449041,0.817664,0.139561,-0.332129,47.3781,-72.9637,-210.756,-0.0139026,0.0257379,0.0360244,30.7727,20.6183,49.935
1759345551328184320,-958.197,-998.241,-757.508,0.448867,0.817408,0.13972,-0.332927,47.1524,-72.2542,-210.719,-0.0139026,0.0257379,0.0360244,30.7728,20.6183,49.9349
1759345551338184448,-957.727,-998.96,-759.615,0.448651,0.817213,0.139807,-0.333661,46.9271,-71.5449,-210.683,-0.0139026,0.0257378,0.0360244,30.7728,20.6183,49.9349
1759345551348184320,-957.259,-999.672,-761.722,0.448459,0.816981,0.13995,-0.334427,46.7024,-70.8353,-210.646,-0.0139026,0.0257378,0.0360244,30.7728,20.6183,49.9349
1759345551358184448,-956.793,-1000.38,-763.828,0.448249,0.816739,0.140113,-0.335228,46.4784,-70.1253,-210.608,-0.0139026,0.0257377,0.0360243,30.7728,20.6184,49.9349
1759345551368184320,-956.329,-1001.07,-765.934,0.448026,0.816493,0.140289,-0.336052,46.2552,-69.4149,-210.57,-0.0139026,0.0257377,0.0360243,30.7728,20.6184,49.9348
