#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1762961787423520000,0.198339,0.244253,0.134204,0.523821,-0.478257,-0.469815,0.525506,4.93155e-05,-2.74436e-05,1.24044e-05,0,0,0,0,0,0
1762961787433520128,0.198349,0.244242,0.134203,0.523771,-0.478294,-0.469824,0.525514,-0.000603682,0.000454074,0.0004924,0,0,0,0,0,0
1762961787443520000,0.198028,0.24451,0.134429,0.525398,-0.477393,-0.46887,0.525561,-0.000611964,0.000484887,0.000454269,0,0,0,0,0,0
1762961787453520128,0.198033,0.244499,0.13444,0.525477,-0.477414,-0.468774,0.525548,-3.68655e-05,-2.56037e-05,2.62752e-05,0,0,0,0,0,0
1762961787463520000,0.198035,0.244473,0.134432,0.525365,-0.477452,-0.468805,0.525597,3.63441e-05,-5.39752e-05,-1.66389e-05,0,0,0,0,0,0
1762961787473520128,0.198027,0.244446,0.134448,0.525411,-0.477454,-0.468705,0.525639,-3.85027e-05,-3.47163e-05,1.79658e-05,0,0,0,0,0,0
1762961787483520000,0.198029,0.244473,0.134443,0.525429,-0.477446,-0.468749,0.525589,-0.000693272,0.00055289,0.000455247,0,0,0,0,0,0
1762961787493520128,0.198008,0.244503,0.134441,0.525406,-0.477429,-0.468777,0.525603,-2.04099e-05,2.9422e-05,-1.80095e-05,0,0,0,0,0,0
1762961787503520000,0.198012,0.244481,0.134437,0.525451,-0.477429,-0.468754,0.525578,5.86599e-06,-7.38423e-06,-1.29443e-05,0,0,0,0,0,0
1762961787513520128,0.198014,0.244512,0.134422,0.525391,-0.477424,-0.468848,0.525559,-7.99917e-05,8.16139e-05,2.27605e-06,0,0,0,0,0,0
1762961787523520000,0.197996,0.244491,0.13444,0.525451,-0.477392,-0.468759,0.525607,-9.08384e-05,0.000129599,-3.08675e-05,0,0,0,0,0,0
1762961787533519872,0.198004,0.244498,0.134418,0.52541,-0.477419,-0.468842,0.52555,-0.000649307,0.000503979,0.000430479,0,0,0,0,0,0
1762961787543520000,0.197994,0.244481,0.13443,0.525482,-0.477375,-0.468735,0.525613,4.79393e-06,1.29571e-05,1.2976e-05,0,0,0,0,0,0
1762961787553519872,0.198028,0.24449,0.134417,0.525402,-0.47742,-0.468801,0.525594,0.000581362,-0.000479303,-0.000351676,0,0,0,0,0,0
1762961787563520000,0.198353,0.244242,0.134199,0.523809,-0.478238,-0.469793,0.525554,3.14197e-05,-5.44901e-05,5.22705e-05,0,0,0,0,0,0
1762961787573519872,0.19819,0.244365,0.13432,0.524618,-0.477814,-0.469302,0.525571,-0.000512526,0.000418814,0.000374799,0,0,0,0,0,0
1762961787583520000,0.198027,0.244487,0.134441,0.525427,-0.477388,-0.468811,0.525588,-2.16756e-05,-3.39549e-05,2.93576e-05,0,0,0,0,0,0
1762961787593519872,0.198024,0.244467,0.134445,0.525392,-0.477418,-0.468785,0.52562,-9.50756e-05,-6.10412e-06,4.57239e-05,0,0,0,0,0,0
1762961787603520000,0.198359,0.244222,0.134208,0.523817,-0.478314,-0.469762,0.525504,-0.000693642,0.000531705,0.000451871,0,0,0,0,0,0
1762961787613519872,0.198013,0.244511,0.134414,0.52545,-0.477341,-0.468864,0.525562,-2.81623e-05,6.47845e-05,-1.1725e-05,0,0,0,0,0,0
1762961787623520000,0.198017,0.244473,0.134432,0.525395,-0.477396,-0.468829,0.525597,0.000633954,-0.000376748,-0.000439847,0,0,0,0,0,0
1762961787633519872,0.198008,0.244486,0.134429,0.525425,-0.477402,-0.46882,0.52557,2.11106e-05,-4.83747e-05,-3.03001e-05,0,0,0,0,0,0
1762961787643520000,0.197999,0.244486,0.134444,0.525443,-0.477402,-0.468792,0.525577,2.48492e-05,1.2895e-05,5.74789e-07,0,0,0,0,0,0
1762961787653519872,0.198001,0.244508,0.134423,0.525416,-0.477392,-0.468825,0.525584,-0.00053247,0.00044647,0.000404448,0,0,0,0,0,0
1762961787663519744,0.198001,0.244514,0.134425,0.525461,-0.477368,-0.468796,0.525587,-2.53711e-05,3.06787e-05,2.98679e-05,0,0,0,0,0,0
1762961787673519872,0.198025,0.244486,0.134437,0.525419,-0.477404,-0.468809,0.525584,-0.000583009,0.000489126,0.000417254,0,0,0,0,0,0
1762961787683519744,0.198026,0.244486,0.134432,0.525435,-0.477429,-0.468783,0.525568,-0.000599803,0.000410812,0.000418923,0,0,0,0,0,0
1762961787693519872,0.19803,0.244496,0.134422,0.525422,-0.477462,-0.468819,0.525519,0.000609605,-0.000520323,-0.000437,0,0,0,0,0,0
1762961787703519744,0.198027,0.244502,0.134428,0.52545,-0.477387,-0.468784,0.52559,-2.00169e-05,-0.000112241,-5.14654e-05,0,0,0,0,0,0
1762961787713519872,0.198336,0.244244,0.134209,0.523818,-0.478269,-0.469776,0.525533,0.00055034,-0.000449427,-0.000438584,0,0,0,0,0,0
1762961787723519744,0.198011,0.244482,0.13444,0.525477,-0.47742,-0.468736,0.525577,0.00060572,-0.000364553,-0.000472825,0,0,0,0,0,0
1762961787733519872,0.198004,0.244493,0.13444,0.525453,-0.477394,-0.46878,0.525585,-4.32761e-05,1.93588e-05,-6.79696e-05,0,0,0,0,0,0
1762961787743519744,0.198008,0.244493,0.134438,0.525457,-0.477381,-0.468798,0.525576,5.27202e-06,5.28973e-05,-5.43757e-05,0,0,0,0,0,0
1762961787753519872,0.198009,0.244486,0.134437,0.525398,-0.477408,-0.468812,0.525598,0.000632883,-0.000415677,-0.000512382,0,0,0,0,0,0
1762961787763519744,0.198268,0.244298,0.134248,0.524114,-0.478067,-0.469629,0.525552,4.26718e-05,3.90799e-06,-5.19724e-05,0,0,0,0,0,0
1762961787773519872,0.198002,0.244511,0.134403,0.525396,-0.47745,-0.468819,0.525556,4.77117e-05,2.28393e-05,-6.96029e-05,0,0,0,0,0,0
1762961787783519744,0.198009,0.244496,0.134417,0.525389,-0.477436,-0.46882,0.525576,0.000681763,-0.00047908,-0.000457659,0,0,0,0,0,0
1762961787793519616,0.198013,0.244486,0.13442,0.525377,-0.477436,-0.468825,0.525583,0.000700423,-0.000478958,-0.000455178,0,0,0,0,0,0
1762961787803519744,0.198301,0.244281,0.134237,0.524071,-0.478134,-0.469646,0.525518,-5.21013e-05,2.67381e-05,3.23277e-05,0,0,0,0,0,0
1762961787813519616,0.19804,0.24449,0.134432,0.525363,-0.477436,-0.468864,0.525563,-6.10936e-05,-5.08838e-05,3.39345e-06,0,0,0,0,0,0
1762961787823519744,0.19801,0.244515,0.134429,0.525418,-0.477346,-0.46885,0.525601,-4.79542e-05,-4.00296e-06,-6.01521e-05,0,0,0,0,0,0
1762961787833519616,0.198004,0.244484,0.134442,0.525419,-0.477424,-0.468783,0.525589,-4.44528e-05,5.61845e-05,-2.57862e-05,0,0,0,0,0,0
1762961787843519744,0.197999,0.244487,0.134456,0.525475,-0.477384,-0.468739,0.525608,0.000532044,-0.000384315,-0.00045703,0,0,0,0,0,0
1762961787853519616,0.198006,0.244489,0.134439,0.525443,-0.47744,-0.468781,0.525552,-0.000641971,0.000522468,0.000385392,0,0,0,0,0,0
1762961787863519744,0.198004,0.244509,0.134436,0.52542,-0.47738,-0.468795,0.525617,-1.58305e-05,2.84397e-05,-1.75959e-06,0,0,0,0,0,0
1762961787873519616,0.198304,0.244292,0.134222,0.523952,-0.478158,-0.469736,0.525535,-9.64393e-06,9.58776e-05,-4.20677e-05,0,0,0,0,0,0
1762961787883519744,0.198015,0.244477,0.13442,0.525349,-0.477479,-0.46881,0.525584,0.000631046,-0.000500031,-0.000461482,0,0,0,0,0,0
1762961787893519616,0.198011,0.244482,0.134428,0.525377,-0.477457,-0.468765,0.525618,2.90547e-05,-1.95075e-05,-3.11316e-05,0,0,0,0,0,0
1762961787903519744,0.198016,0.244499,0.134408,0.525397,-0.477431,-0.468768,0.525619,0.000658629,-0.000563406,-0.000413442,0,0,0,0,0,0
1762961787913519616,0.198035,0.244502,0.134399,0.525388,-0.47745,-0.468842,0.525543,0.000673288,-0.000550572,-0.0004098,0,0,0,0,0,0
1762961787923519488,0.198047,0.244497,0.134413,0.525369,-0.477436,-0.468832,0.525585,-3.66944e-05,-1.12108e-05,2.70911e-05,0,0,0,0,0,0
1762961787933519616,0.198049,0.244447,0.134413,0.525274,-0.477521,-0.468843,0.525592,-2.77665e-05,4.78181e-07,1.40327e-05,0,0,0,0,0,0
1762961787943519488,0.198333,0.244249,0.134211,0.523806,-0.478248,-0.469812,0.525531,0.000554303,-0.000454483,-0.000389409,0,0,0,0,0,0
1762961787953519616,0.198023,0.244443,0.134415,0.525256,-0.477447,-0.468837,0.525683,0.000313593,-0.000277193,-0.000249486,0,0,0,0,0,0
1762961787963519488,0.19831,0.244248,0.134212,0.523882,-0.478198,-0.469749,0.525558,-0.00068172,0.000528536,0.00043524,0,0,0,0,0,0
1762961787973519616,0.198329,0.244264,0.134211,0.52386,-0.478212,-0.469786,0.525533,-1.8345e-05,5.25525e-05,-3.68768e-05,0,0,0,0,0,0
1762961787983519488,0.198007,0.244482,0.134409,0.525382,-0.477452,-0.468751,0.52563,6.95012e-05,-1.44835e-05,-8.83219e-05,0,0,0,0,0,0
1762961787993519616,0.19801,0.24453,0.134413,0.525485,-0.477418,-0.468813,0.525501,-1.38815e-05,-9.32989e-06,-1.1317e-05,0,0,0,0,0,0
1762961788003519488,0.198328,0.244273,0.134181,0.523864,-0.478254,-0.469791,0.525487,3.47901e-06,-2.9738e-05,6.82246e-06,0,0,0,0,0,0
1762961788013519616,0.198035,0.244514,0.134396,0.525387,-0.477425,-0.468877,0.525537,-0.000506326,0.000367489,0.000378006,0,0,0,0,0,0
1762961788023519488,0.198019,0.244502,0.134405,0.525407,-0.477402,-0.468812,0.525595,3.41312e-06,-3.90374e-05,6.35512e-05,0,0,0,0,0,0
1762961788033519616,0.198345,0.244258,0.134189,0.523823,-0.478235,-0.46982,0.525519,0.000572791,-0.000476541,-0.00038116,0,0,0,0,0,0
1762961788043519488,0.198344,0.244241,0.134203,0.52382,-0.478232,-0.469794,0.525548,5.68547e-05,-6.67535e-05,-1.16072e-05,0,0,0,0,0,0
1762961788053519360,0.198002,0.244503,0.134433,0.525422,-0.477375,-0.468846,0.525574,-0.000581051,0.000408721,0.000395654,0,0,0,0,0,0
1762961788063519488,0.198002,0.244498,0.134425,0.525454,-0.477379,-0.4688,0.525579,-5.98978e-05,-1.36381e-05,-1.48502e-05,0,0,0,0,0,0
1762961788073519360,0.198004,0.244491,0.134416,0.52548,-0.477387,-0.468758,0.525584,-3.36269e-05,-5.46639e-05,-1.27878e-05,0,0,0,0,0,0
1762961788083519488,0.198005,0.244515,0.134429,0.525452,-0.477378,-0.468827,0.525559,-6.99005e-06,9.39565e-05,-6.82641e-05,0,0,0,0,0,0
1762961788093519360,0.19829,0.244275,0.134217,0.52395,-0.47817,-0.469708,0.525551,0.000601219,-0.000401275,-0.00047394,0,0,0,0,0,0
1762961788103519488,0.198038,0.244483,0.134401,0.525264,-0.477547,-0.468873,0.525552,5.96376e-05,-9.77868e-06,-9.66674e-05,0,0,0,0,0,0
1762961788113519360,0.198005,0.244525,0.134413,0.525461,-0.477392,-0.468837,0.525528,4.87922e-05,-1.06653e-05,-5.34531e-05,0,0,0,0,0,0
1762961788123519488,0.198012,0.244521,0.134411,0.525422,-0.477436,-0.46885,0.525516,0.000111157,-7.08979e-05,-4.27287e-05,0,0,0,0,0,0
1762961788133519360,0.198324,0.244236,0.134199,0.523845,-0.478209,-0.46975,0.525583,8.27415e-06,5.40677e-05,3.18335e-06,0,0,0,0,0,0
1762961788143519488,0.198013,0.244476,0.134428,0.52541,-0.477395,-0.468802,0.525608,-2.71507e-05,1.09672e-05,-4.48524e-06,0,0,0,0,0,0
1762961788153519360,0.19833,0.244226,0.134216,0.523785,-0.478292,-0.46977,0.525549,-2.5886e-05,-1.59539e-05,5.74326e-05,0,0,0,0,0,0
1762961788163519488,0.198338,0.244238,0.13422,0.52382,-0.478243,-0.46979,0.525541,0.000571904,-0.000534496,-0.000364415,0,0,0,0,0,0
1762961788173519360,0.198007,0.244481,0.13445,0.525439,-0.477431,-0.468732,0.525607,0.000550081,-0.000510703,-0.000409004,0,0,0,0,0,0
1762961788183519488,0.198012,0.244486,0.134439,0.525451,-0.477397,-0.468772,0.525592,0.000573709,-0.000423393,-0.000416717,0,0,0,0,0,0
1762961788193519360,0.198307,0.244269,0.134227,0.524022,-0.478151,-0.469697,0.525506,-0.000598096,0.00048619,0.000367543,0,0,0,0,0,0
1762961788203519232,0.198015,0.244511,0.134431,0.525441,-0.477458,-0.46882,0.525503,0.000539317,-0.000322077,-0.000386406,0,0,0,0,0,0
1762961788213519360,0.197995,0.244508,0.134426,0.525455,-0.477401,-0.468777,0.52558,-0.000531452,0.000464661,0.000372547,0,0,0,0,0,0
1762961788223519232,0.198304,0.244246,0.134198,0.523851,-0.47821,-0.469776,0.525553,-0.000633844,0.000462994,0.000432794,0,0,0,0,0,0
1762961788233519360,0.198039,0.244485,0.134396,0.52532,-0.477548,-0.468817,0.525546,6.21524e-06,5.19202e-05,1.88002e-05,0,0,0,0,0,0
1762961788243519232,0.198001,0.244488,0.134432,0.525423,-0.477416,-0.468772,0.525603,1.2711e-05,-4.93735e-05,1.4922e-06,0,0,0,0,0,0
1762961788253519360,0.198011,0.244471,0.13444,0.525405,-0.477402,-0.468798,0.52561,-3.40955e-05,-1.31305e-05,5.51245e-05,0,0,0,0,0,0
1762961788263519232,0.198015,0.244482,0.134437,0.525426,-0.477436,-0.468804,0.525552,0.000597391,-0.000529776,-0.000391688,0,0,0,0,0,0
1762961788273519360,0.198004,0.244492,0.134435,0.525448,-0.477418,-0.468753,0.525592,0.000637726,-0.000529742,-0.000370957,0,0,0,0,0,0
1762961788283519232,0.198296,0.244258,0.134226,0.52398,-0.478149,-0.469655,0.525588,-0.000585916,0.000425839,0.000463846,0,0,0,0,0,0
1762961788293519360,0.198042,0.244452,0.134415,0.525249,-0.477484,-0.468906,0.525594,-0.000672943,0.000516835,0.000467998,0,0,0,0,0,0
1762961788303519232,0.198011,0.244485,0.134435,0.525407,-0.477415,-0.468819,0.525577,1.1326e-05,1.32709e-05,1.08302e-05,0,0,0,0,0,0
1762961788313519360,0.19801,0.244484,0.134425,0.525407,-0.477438,-0.468786,0.525585,-4.58797e-05,0.000114342,5.44547e-05,0,0,0,0,0,0
1762961788323519232,0.197993,0.244488,0.134423,0.525409,-0.477425,-0.468784,0.525597,-1.59751e-05,2.72855e-05,1.65306e-05,0,0,0,0,0,0
1762961788333519104,0.198001,0.244531,0.134408,0.525457,-0.477417,-0.468823,0.525522,1.16336e-05,-2.45494e-05,-1.93457e-05,0,0,0,0,0,0
