#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1761339453573909760,-0.507237,0.148421,0.208763,0.546856,-0.566196,0.467716,-0.402009,-2.56981e-05,-6.6954e-05,-3.42156e-05,0,0,0,0,0,0
1761339453583909632,-0.50722,0.148406,0.208761,0.546848,-0.566159,0.46771,-0.402081,-4.3191e-05,-0.000116614,-5.16826e-05,0,0,0,0,0,0
1761339453593909760,-0.507225,0.148384,0.208762,0.54683,-0.566207,0.467668,-0.402086,4.85578e-06,-0.000129566,2.37011e-05,0,0,0,0,0,0
1761339453603909632,-0.507217,0.148397,0.20877,0.546876,-0.566188,0.467651,-0.402071,-2.05276e-05,-3.69773e-05,6.05146e-05,0,0,0,0,0,0
1761339453613909760,-0.507224,0.148387,0.208772,0.546838,-0.566203,0.46767,-0.402079,-4.45858e-05,3.07051e-05,8.55631e-05,0,0,0,0,0,0
1761339453623909632,-0.507236,0.148413,0.208766,0.546861,-0.56615,0.46774,-0.402041,-3.38267e-05,0.000128328,5.08416e-05,0,0,0,0,0,0
1761339453633909760,-0.507224,0.148422,0.208764,0.546894,-0.566156,0.467696,-0.402038,-2.26909e-05,0.000143829,3.36528e-05,0,0,0,0,0,0
1761339453643909632,-0.507233,0.148412,0.208761,0.546845,-0.566207,0.467706,-0.402022,-1.252e-05,0.000101758,-3.91802e-05,0,0,0,0,0,0
1761339453653909760,-0.507226,0.148403,0.208749,0.546847,-0.566211,0.467681,-0.402042,1.23858e-05,5.78926e-05,-0.000119915,0,0,0,0,0,0
1761339453663909632,-0.507236,0.148419,0.208737,0.546864,-0.566227,0.467723,-0.401948,2.02028e-05,-0.000135299,-0.000128803,0,0,0,0,0,0
1761339453673909760,-0.507231,0.148429,0.20874,0.546895,-0.566163,0.467708,-0.402013,-7.87401e-06,-0.000128611,-4.97347e-05,0,0,0,0,0,0
1761339453683909632,-0.507217,0.148435,0.208744,0.546882,-0.566124,0.467734,-0.402056,2.01371e-05,-6.24051e-05,3.92463e-05,0,0,0,0,0,0
1761339453693909760,-0.507209,0.148434,0.208761,0.546877,-0.566159,0.467681,-0.402075,-2.43418e-05,2.64216e-05,7.72371e-05,0,0,0,0,0,0
1761339453703909632,-0.507232,0.148424,0.208771,0.546852,-0.566193,0.467696,-0.402042,-1.49944e-05,6.26208e-05,0.000141155,0,0,0,0,0,0
1761339453713909504,-0.507233,0.148408,0.208767,0.546858,-0.566211,0.467691,-0.402015,1.41322e-05,1.88083e-05,9.79169e-05,0,0,0,0,0,0
1761339453723909632,-0.507232,0.148391,0.208769,0.546815,-0.566208,0.467681,-0.402089,-1.87169e-05,-1.77358e-05,1.92815e-05,0,0,0,0,0,0
1761339453733909504,-0.507226,0.148396,0.208755,0.546859,-0.566195,0.467677,-0.402052,2.39132e-05,1.33578e-05,-7.73302e-05,0,0,0,0,0,0
1761339453743909632,-0.507241,0.148383,0.208746,0.546825,-0.56622,0.467728,-0.402005,2.9856e-05,4.24628e-05,-0.000136483,0,0,0,0,0,0
1761339453753909504,-0.507209,0.148383,0.208744,0.546878,-0.566171,0.467632,-0.402114,-1.83178e-05,2.99235e-05,-0.000114058,0,0,0,0,0,0
1761339453763909632,-0.507226,0.148415,0.208735,0.546868,-0.566182,0.467698,-0.402035,2.17852e-05,2.35537e-05,-5.17141e-05,0,0,0,0,0,0
1761339453773909504,-0.507223,0.148435,0.208749,0.546811,-0.566217,0.467697,-0.402063,1.72878e-05,1.19015e-05,1.46695e-05,0,0,0,0,0,0
1761339453783909632,-0.50723,0.148458,0.208764,0.546851,-0.5662,0.467697,-0.402034,-7.22273e-07,3.65548e-05,8.01913e-05,0,0,0,0,0,0
