#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1761339766279684608,0.814465,-0.934028,2.1541,0.544251,-0.700425,0.424296,-0.182125,0.00819732,-0.00901248,0.0192339,0.0247046,0.105478,0.00609523,2.15355,-0.294923,0.86723
1761339766289684480,0.814546,-0.934116,2.1543,0.544367,-0.700603,0.424018,-0.18174,0.00786136,-0.0086744,0.0192803,0.0247046,0.105478,0.00609523,2.15355,-0.294923,0.86723
1761339766299684608,0.814623,-0.934201,2.15449,0.544486,-0.700783,0.423738,-0.181339,0.00765226,-0.00826249,0.0192796,0.0247046,0.105478,0.00609523,2.15355,-0.294923,0.86723
1761339766309684480,0.814699,-0.934282,2.15468,0.544591,-0.700968,0.423464,-0.180946,0.00746322,-0.00787049,0.0192712,0.0247046,0.105478,0.00609523,2.15355,-0.294923,0.86723
1761339766319684608,0.814772,-0.934358,2.15488,0.544708,-0.701136,0.423194,-0.180577,0.00729104,-0.00749666,0.0192538,0.0247046,0.105478,0.00609523,2.15355,-0.294923,0.86723
1761339766329684480,0.814845,-0.934432,2.15507,0.544815,-0.701305,0.422932,-0.180211,0.00713344,-0.00714174,0.019226,0.0247046,0.105478,0.00609523,2.15355,-0.294923,0.86723
1761339766339684608,0.814915,-0.934501,2.15526,0.544909,-0.701468,0.422683,-0.179874,0.00693316,-0.00681026,0.0190516,0.0247046,0.105478,0.00609523,2.15355,-0.294923,0.86723
1761339766349684480,0.814984,-0.934568,2.15545,0.545008,-0.701633,0.422429,-0.179529,0.00674281,-0.00649398,0.0188557,0.0247046,0.105478,0.00609523,2.15355,-0.294923,0.86723
1761339766359684352,0.81505,-0.934631,2.15564,0.545109,-0.70178,0.422191,-0.179209,0.00662218,-0.00618545,0.0187836,0.0247046,0.105478,0.00609523,2.15355,-0.294923,0.86723
1761339766369684480,0.815116,-0.934692,2.15583,0.545213,-0.701928,0.421948,-0.178888,0.00646493,-0.00585743,0.0186611,0.0247046,0.105478,0.00609523,2.15355,-0.294923,0.86723
1761339766379684352,0.81518,-0.934748,2.15601,0.545298,-0.702068,0.421731,-0.178587,0.00617067,-0.00542952,0.0184117,0.0247046,0.105478,0.00609523,2.15355,-0.294922,0.86723
1761339766389684480,0.81524,-0.934801,2.1562,0.545373,-0.702219,0.421508,-0.178294,0.0058661,-0.00522343,0.0181588,0.0247046,0.105478,0.00609523,2.15355,-0.294922,0.86723
1761339766399684352,0.815298,-0.934853,2.15638,0.545457,-0.702354,0.421297,-0.178002,0.00559589,-0.00507594,0.0178792,0.0247046,0.105478,0.00609523,2.15355,-0.294922,0.86723
1761339766409684480,0.815353,-0.934903,2.15655,0.545539,-0.702486,0.421086,-0.177729,0.00544014,-0.00484598,0.0175342,0.0247046,0.105478,0.00609523,2.15355,-0.294922,0.86723
1761339766419684352,0.815407,-0.93495,2.15673,0.545615,-0.702614,0.420883,-0.177467,0.00528974,-0.00462834,0.0171706,0.0247046,0.105478,0.00609523,2.15355,-0.294922,0.86723
1761339766429684480,0.81546,-0.934995,2.1569,0.545683,-0.702737,0.420692,-0.177224,0.00516303,-0.00441837,0.0168318,0.0247046,0.105478,0.00609523,2.15355,-0.294922,0.86723
1761339766439684352,0.815511,-0.935038,2.15707,0.545769,-0.702849,0.420499,-0.176971,0.00509966,-0.0042118,0.0166158,0.0247046,0.105478,0.00609523,2.15355,-0.294922,0.86723
