#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1761310126535933184,0.209236,1.11642,0.266857,0.509737,-0.512404,-0.491458,0.48588,0.00158141,0.000244975,0.022266,-0.00867451,0.0963672,0.00816459,0.199425,0.0721903,0.207534
1761310126545933312,0.209251,1.11643,0.26708,0.509523,-0.512135,-0.491736,0.486108,0.00141372,0.000276651,0.0222931,-0.00867451,0.0963672,0.00816459,0.199425,0.0721903,0.207534
1761310126555933184,0.209265,1.11643,0.267303,0.50931,-0.511882,-0.492,0.486329,0.00124177,0.000132604,0.0223031,-0.00867451,0.0963672,0.00816459,0.199425,0.0721903,0.207534
1761310126565933312,0.209276,1.11643,0.267526,0.509111,-0.511641,-0.492241,0.486547,0.0010774,1.15569e-05,0.0222874,-0.00867451,0.0963672,0.00816459,0.199425,0.0721903,0.207534
1761310126575933184,0.209286,1.11643,0.26775,0.50893,-0.511406,-0.492479,0.486743,0.000926219,1.1684e-05,0.0222379,-0.00867451,0.0963672,0.00816459,0.199425,0.0721903,0.207534
1761310126585933312,0.209295,1.11643,0.267972,0.508761,-0.511199,-0.492693,0.486921,0.000781565,-2.57512e-06,0.0221468,-0.00867451,0.0963672,0.00816459,0.199425,0.0721903,0.207534
1761310126595933184,0.209301,1.11643,0.268194,0.508584,-0.511006,-0.4929,0.487098,0.00064632,-3.09453e-05,0.0219455,-0.00867451,0.0963672,0.00816459,0.199425,0.0721904,0.207534
1761310126605933312,0.209307,1.11643,0.268413,0.508424,-0.510819,-0.493091,0.487268,0.00052423,-7.42534e-05,0.0215768,-0.00867451,0.0963672,0.00816459,0.199425,0.0721904,0.207534
1761310126615933184,0.209312,1.11643,0.268628,0.508262,-0.51063,-0.493274,0.487451,0.000480791,-0.000203879,0.0211837,-0.00867451,0.0963672,0.00816459,0.199425,0.0721905,0.207534
1761310126625933056,0.209317,1.11642,0.268839,0.508108,-0.51045,-0.493461,0.48761,0.000575842,-0.000470562,0.0207594,-0.00867451,0.0963672,0.00816459,0.199425,0.0721906,0.207534
1761310126635933184,0.209322,1.11642,0.269047,0.507976,-0.51026,-0.493661,0.487744,0.000520722,-0.000554744,0.0204547,-0.00867451,0.0963672,0.00816459,0.199425,0.0721908,0.207534
1761310126645933056,0.209326,1.11641,0.269251,0.507877,-0.510076,-0.493834,0.487864,0.000439984,-0.000647953,0.0200774,-0.00867451,0.0963672,0.00816459,0.199424,0.0721909,0.207534
1761310126655933184,0.20933,1.11641,0.269451,0.507768,-0.509894,-0.494012,0.487988,0.000367628,-0.000858829,0.0195365,-0.00867451,0.0963672,0.00816459,0.199424,0.0721911,0.207533
1761310126665933056,0.209332,1.1164,0.269647,0.507645,-0.509715,-0.494191,0.488122,0.000305288,-0.000899729,0.0191359,-0.00867451,0.0963672,0.00816459,0.199424,0.0721914,0.207533
1761310126675933184,0.209334,1.11639,0.269838,0.507519,-0.509544,-0.494361,0.48826,0.000183757,-0.000901275,0.0187567,-0.00867451,0.0963672,0.00816459,0.199424,0.0721917,0.207533
